Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Referee,Season
2001-09-16,Tottenham,Chelsea,2,3,A,0,1,A,11,6,4,4,10,12,6,6,1,4,0,1,S. W. Dunn,2001/02
2001-09-17,Leicester,Middlesbrough,1,2,A,1,0,H,10,13,5,6,19,15,4,2,0,1,0,0,N. S. Barry,2001/02
2001-09-19,Blackburn,Bolton,1,1,D,0,0,D,20,10,8,5,14,15,10,2,0,4,0,0,J. T. Winter,2001/02
2001-09-19,Sunderland,Tottenham,1,2,A,0,1,A,14,13,8,6,9,14,11,4,1,2,0,0,P. A. Durkin,2001/02
2001-09-22,Arsenal,Bolton,1,1,D,0,0,D,23,7,12,4,9,11,17,0,1,1,0,1,C. R. Wilkes,2001/02
2001-09-22,Blackburn,Everton,1,0,H,1,0,H,13,14,6,7,18,17,5,4,1,2,0,0,G. P. Barber,2001/02
2001-09-22,Leicester,Fulham,0,0,D,0,0,D,12,6,5,2,15,21,4,4,2,2,0,0,E. K. Wolstenholme,2001/02
2001-09-22,Liverpool,Tottenham,1,0,H,0,0,D,14,11,6,5,12,9,2,5,0,1,0,0,D. J. Gallagher,2001/02
2001-09-22,Man United,Ipswich,4,0,H,2,0,H,13,8,8,1,14,17,8,4,0,1,0,0,N. S. Barry,2001/02
2001-09-22,Sunderland,Charlton,2,2,D,0,1,A,22,13,13,5,20,13,9,8,2,3,0,0,A. P. D'Urso,2001/02
2001-09-23,Chelsea,Middlesbrough,2,2,D,2,0,H,8,4,3,2,17,15,8,2,4,1,0,0,R. Styles,2001/02
2001-09-23,Leeds,Derby,3,0,H,1,0,H,19,9,10,2,26,17,9,3,1,2,0,0,A. G. Wiley,2001/02
2001-09-23,West Ham,Newcastle,3,0,H,1,0,H,17,8,9,5,20,17,10,7,3,0,0,0,P. Jones,2001/02
2001-09-24,Southampton,Aston Villa,1,3,A,1,2,A,12,11,4,5,15,18,2,3,1,2,1,1,S. W. Dunn,2001/02
2001-09-26,Newcastle,Leicester,1,0,H,1,0,H,12,2,6,2,17,27,10,1,2,3,0,0,D. Pugh,2001/02
2001-09-29,Bolton,Sunderland,0,2,A,0,0,D,15,14,8,7,10,13,8,4,1,1,0,0,D. R. Elleray,2001/02
2001-09-29,Charlton,Leicester,2,0,H,1,0,H,14,9,12,6,12,11,4,4,1,2,1,1,M. L. Dean,2001/02
2001-09-29,Derby,Arsenal,0,2,A,0,1,A,7,11,5,6,18,19,2,5,3,3,0,1,R. Styles,2001/02
2001-09-29,Everton,West Ham,5,0,H,1,0,H,18,15,11,5,15,8,8,4,0,0,0,0,P. A. Durkin,2001/02
2001-09-29,Middlesbrough,Southampton,1,3,A,0,0,D,5,8,3,4,16,17,6,0,0,1,0,0,A. G. Wiley,2001/02
2001-09-29,Tottenham,Man United,3,5,A,3,0,H,7,18,3,9,16,10,4,7,3,3,0,0,J. T. Winter,2001/02
2001-09-30,Aston Villa,Blackburn,2,0,H,0,0,D,5,4,2,1,9,15,2,8,2,2,0,0,M. R. Halsey,2001/02
2001-09-30,Fulham,Chelsea,1,1,D,0,1,A,4,9,1,3,5,14,5,7,1,4,0,1,G. Poll,2001/02
2001-09-30,Ipswich,Leeds,1,2,A,1,0,H,11,11,6,7,8,8,10,8,0,1,0,0,A. P. D'Urso,2001/02
2001-09-30,Newcastle,Liverpool,0,2,A,0,1,A,7,6,3,2,14,23,7,0,1,4,0,0,G. P. Barber,2001/02
2001-10-13,Bolton,Newcastle,0,4,A,0,1,A,9,15,3,8,10,9,7,8,2,2,1,0,M. A. Riley,2001/02
2001-10-13,Charlton,Middlesbrough,0,0,D,0,0,D,8,11,4,4,14,13,13,4,2,1,0,0,D. R. Elleray,2001/02
2001-10-13,Chelsea,Leicester,2,0,H,2,0,H,22,8,10,2,9,13,5,3,0,0,0,0,J. T. Winter,2001/02
2001-10-13,Ipswich,Everton,0,0,D,0,0,D,7,9,4,6,8,5,8,6,0,1,0,0,C. R. Wilkes,2001/02
2001-10-13,Liverpool,Leeds,1,1,D,0,1,A,10,9,2,3,11,14,6,4,3,2,0,0,A. G. Wiley,2001/02
2001-10-13,Southampton,Arsenal,0,2,A,0,1,A,3,21,0,8,15,9,1,6,2,1,1,0,G. P. Barber,2001/02
2001-10-13,Sunderland,Man United,1,3,A,0,1,A,15,13,7,8,12,15,3,4,0,0,0,0,G. Poll,2001/02
2001-10-14,Aston Villa,Fulham,2,0,H,0,0,D,9,11,3,3,9,8,5,2,1,1,0,0,P. A. Durkin,2001/02
2001-10-14,Blackburn,West Ham,7,1,H,3,1,H,24,12,14,5,8,6,7,7,1,3,0,1,A. P. D'Urso,2001/02
2001-10-15,Tottenham,Derby,3,1,H,2,1,H,24,8,12,6,11,6,16,2,0,2,0,0,M. R. Halsey,2001/02
2001-10-20,Arsenal,Blackburn,3,3,D,0,1,A,18,9,11,5,13,20,5,4,1,2,0,0,U. D. Rennie,2001/02
2001-10-20,Derby,Charlton,1,1,D,1,0,H,10,11,5,7,12,11,5,5,3,0,0,0,A. P. D'Urso,2001/02
2001-10-20,Everton,Aston Villa,3,2,H,1,0,H,10,11,6,3,15,14,8,4,0,1,0,0,R. Styles,2001/02
2001-10-20,Leicester,Liverpool,1,4,A,0,3,A,8,12,3,6,11,13,6,6,1,2,0,0,M. R. Halsey,2001/02
2001-10-20,Man United,Bolton,1,2,A,1,1,D,13,7,6,2,11,6,8,0,0,0,0,0,G. P. Barber,2001/02
2001-10-20,West Ham,Southampton,2,0,H,0,0,D,20,10,8,3,16,16,10,7,0,1,0,1,N. S. Barry,2001/02
2001-10-21,Fulham,Ipswich,1,1,D,1,0,H,7,6,3,2,25,17,3,3,2,3,1,0,M. A. Riley,2001/02
2001-10-21,Leeds,Chelsea,0,0,D,0,0,D,18,14,12,6,20,17,10,8,2,3,0,0,P. A. Durkin,2001/02
2001-10-21,Newcastle,Tottenham,0,2,A,0,2,A,8,9,3,3,16,10,7,2,2,1,0,0,A. G. Wiley,2001/02
2001-10-22,Middlesbrough,Sunderland,2,0,H,2,0,H,7,15,5,5,18,16,4,5,1,2,1,0,M. R. Halsey,2001/02
2001-10-24,Aston Villa,Charlton,1,0,H,1,0,H,16,4,6,0,6,8,3,4,0,0,0,0,D. Pugh,2001/02
2001-10-24,Southampton,Ipswich,3,3,D,2,1,H,11,10,6,5,14,5,4,7,2,1,0,0,U. D. Rennie,2001/02
2001-10-24,West Ham,Chelsea,2,1,H,2,1,H,10,15,4,5,11,6,1,8,0,0,0,0,D. J. Gallagher,2001/02
2001-10-27,Aston Villa,Bolton,3,2,H,2,1,H,10,9,7,5,13,16,6,2,2,3,0,0,E. K. Wolstenholme,2001/02
2001-10-27,Charlton,Liverpool,0,2,A,0,2,A,14,5,4,4,12,13,13,1,0,1,0,1,P. Jones,2001/02
2001-10-27,Everton,Newcastle,1,3,A,0,1,A,18,6,8,4,8,15,13,3,1,2,0,0,J. T. Winter,2001/02
2001-10-27,Fulham,Southampton,2,1,H,2,1,H,19,11,5,5,8,14,6,4,0,2,0,0,A. P. D'Urso,2001/02
2001-10-27,Man United,Leeds,1,1,D,0,0,D,18,12,6,6,16,15,6,2,3,3,0,0,D. J. Gallagher,2001/02
2001-10-27,Sunderland,Arsenal,1,1,D,0,1,A,10,14,6,5,12,22,7,6,3,3,0,0,M. A. Riley,2001/02
2001-10-27,Tottenham,Middlesbrough,2,1,H,0,1,A,10,8,4,3,11,12,8,5,0,0,0,0,M. L Dean,2001/02
2001-10-28,Derby,Chelsea,1,1,D,1,0,H,13,19,8,8,14,11,4,10,1,4,0,0,S. G. Bennett,2001/02
2001-10-28,Ipswich,West Ham,2,3,A,0,1,A,12,12,8,4,16,11,8,9,2,2,0,0,S. W. Dunn,2001/02
2001-10-29,Blackburn,Leicester,0,0,D,0,0,D,12,10,3,5,11,7,7,1,6,2,0,0,R. Styles,2001/02
2001-11-03,Bolton,Everton,2,2,D,1,1,D,16,11,8,6,13,13,9,3,4,2,1,0,A. P. D'Urso,2001/02
2001-11-03,Leicester,Sunderland,1,0,H,0,0,D,9,11,5,4,13,20,7,7,1,3,0,0,S. W. Dunn,2001/02
2001-11-03,Middlesbrough,Derby,5,1,H,0,0,D,11,6,7,4,10,12,6,4,0,1,0,0,N. S. Barry,2001/02
2001-11-03,Newcastle,Aston Villa,3,0,H,1,0,H,17,10,7,2,15,7,13,8,0,3,0,0,C. R. Wilkes,2001/02
2001-11-03,Southampton,Blackburn,1,2,A,1,1,D,16,6,6,5,19,18,10,4,1,1,0,0,A. G. Wiley,2001/02
2001-11-03,West Ham,Fulham,0,2,A,0,1,A,12,14,6,6,13,18,10,8,1,3,0,0,G. P. Barber,2001/02
2001-11-04,Arsenal,Charlton,2,4,A,1,2,A,26,9,12,4,9,11,4,6,3,2,0,0,M. R. Halsey,2001/02
2001-11-04,Chelsea,Ipswich,2,1,H,1,0,H,15,7,6,3,12,17,5,6,0,2,0,0,R. Styles,2001/02
2001-11-04,Leeds,Tottenham,2,1,H,0,0,D,20,11,9,4,9,15,7,3,1,3,0,0,S. G. Bennett,2001/02
2001-11-04,Liverpool,Man United,3,1,H,2,0,H,8,10,5,3,9,13,1,1,0,0,0,0,G. Poll,2001/02
2001-11-17,Aston Villa,Middlesbrough,0,0,D,0,0,D,8,11,5,2,16,9,5,3,1,2,0,0,P. Jones,2001/02
2001-11-17,Blackburn,Liverpool,1,1,D,0,1,A,5,5,5,2,17,10,6,3,2,0,0,0,M. A. Riley,2001/02
2001-11-17,Derby,Southampton,1,0,H,1,0,H,9,8,3,4,13,13,7,6,0,1,0,0,P. A. Durkin,2001/02
2001-11-17,Fulham,Newcastle,3,1,H,2,0,H,8,7,8,1,10,18,4,4,0,6,0,0,E. K. Wolstenholme,2001/02
2001-11-17,Man United,Leicester,2,0,H,1,0,H,14,8,7,4,10,10,10,4,2,1,0,0,A. P. D'Urso,2001/02
2001-11-17,Tottenham,Arsenal,1,1,D,0,0,D,9,5,4,5,18,16,9,6,2,1,0,0,J. T. Winter,2001/02
2001-11-18,Everton,Chelsea,0,0,D,0,0,D,12,14,4,7,11,11,8,4,1,3,0,0,M. R. Halsey,2001/02
2001-11-18,Ipswich,Bolton,1,2,A,1,2,A,8,10,4,5,8,16,12,2,0,2,0,0,S. G. Bennett,2001/02
2001-11-18,Sunderland,Leeds,2,0,H,0,0,D,12,12,5,6,25,11,5,3,1,3,0,0,G. P. Barber,2001/02
2001-11-19,Charlton,West Ham,4,4,D,2,2,D,18,11,9,7,8,13,13,4,1,2,0,0,A. G. Wiley,2001/02
2001-11-24,Bolton,Fulham,0,0,D,0,0,D,11,7,5,1,11,9,2,3,1,1,0,0,M. L Dean,2001/02
2001-11-24,Chelsea,Blackburn,0,0,D,0,0,D,14,8,8,2,13,7,7,3,0,2,0,0,G. Poll,2001/02
2001-11-24,Leicester,Everton,0,0,D,0,0,D,8,8,7,3,18,21,7,2,2,1,0,0,U. D. Rennie,2001/02
2001-11-24,Newcastle,Derby,1,0,H,1,0,H,17,8,10,4,10,14,8,6,1,2,0,0,R. Styles,2001/02
